"Code du groupement d'utilisation";"Libellé du groupement d'utilisation";"Continent";"Code du pays";"Libellé du pays";"Libellé du flux";"Valeur DHS Janvier 2017";"Valeur DHS Février 2017";"Valeur DHS Mars 2017";"Valeur DHS Avril 2017";"Valeur DHS Mai 2017";"Valeur DHS Juin 2017";"Valeur DHS Juillet 2017";"Valeur DHS Aout 2017";"Valeur DHS Septembre 2017";"Valeur DHS Octobre 2017";"Valeur DHS Novembre 2017";"Valeur DHS Décembre 2017";"Valeur DHS Janvier 2018";"Valeur DHS Février 2018";"Valeur DHS Mars 2018";"Valeur DHS Avril 2018";"Valeur DHS Mai 2018";"Valeur DHS Juin 2018";"Valeur DHS Juillet 2018";"Valeur DHS Aout 2018";"Valeur DHS Septembre 2018";"Valeur DHS Octobre 2018";"Valeur DHS Novembre 2018";"Valeur DHS Décembre 2018";"Valeur DHS Janvier 2019";"Valeur DHS Février 2019";"Valeur DHS Mars 2019";"Valeur DHS Avril 2019";"Valeur DHS Mai 2019";"Valeur DHS Juin 2019";"Valeur DHS Juillet 2019";"Valeur DHS Aout 2019";"Valeur DHS Septembre 2019";"Valeur DHS Octobre 2019";"Valeur DHS Novembre 2019";"Valeur DHS Décembre 2019";"Valeur DHS Janvier 2020";"Valeur DHS Février 2020";"Valeur DHS Mars 2020";"Valeur DHS Avril 2020";"Valeur DHS Mai 2020";"Valeur DHS Juin 2020";"Valeur DHS Juillet 2020";"Valeur DHS Aout 2020";"Valeur DHS Septembre 2020";"Valeur DHS Octobre 2020";"Valeur DHS Novembre 2020";"Valeur DHS Décembre 2020";"Valeur DHS Janvier 2021";"Valeur DHS Février 2021";"Valeur DHS Mars 2021";"Valeur DHS Avril 2021";"Valeur DHS Mai 2021";"Valeur DHS Juin 2021";"Valeur DHS Juillet 2021";"Valeur DHS Aout 2021";"Valeur DHS Septembre 2021";"Valeur DHS Octobre 2021";"Valeur DHS Novembre 2021";"Valeur DHS Décembre 2021";
"1";"ALIMENTATION, BOISSONS ET TABACS";"AFRIQUE";"BI";"BURUNDI";"Exportations FAB";"0";"0";"0";"635842";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"AFRIQUE";"CG";"CONGO";"Exportations FAB";"11946762,88";"22894218,072";"20323828";"16317828,38";"14910204";"4119740,06";"8222747";"3518725";"14973587";"2727745,588";"4405184";"20973940";"2788506";"11003095";"13971511";"2465507";"3364015";"7387408";"8548275";"14541230";"6784590";"5968066";"14344528";"10002170";"4556041,41";"2472283";"7876590";"6384891";"2754778";"3411303";"4334698";"6453573";"1405118";"7933765";"12597600";"12053392";"4553227,5";"5221913,202";"7923496,472";"3755479";"10453082,416";"9698075";"6881029";"6548814";"8120945";"2939903";"7871585";"7162149";"2004591";"4620712";"14958340";"11895298,17";"1852215";"2408827";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"AFRIQUE";"EG";"EGYPTE";"Exportations FAB";"39694326,182";"8853948";"6498343";"5477035";"5559366";"8606638";"2439865";"14590863";"11614166";"7747933";"18738722";"13377530,48";"10212892";"5935231";"9981706";"9763426,86";"2636835";"9662580";"12594782";"12629408";"8641748";"15898101,93";"21816253,3";"25656338";"25614000";"20866069";"17585294";"8906629";"10602325";"14523875";"13005204";"18196088";"17330515,304";"22920651";"24181460";"27050645";"22018589";"20418397";"19177993";"14276757";"18794660";"23171409,36";"18395776";"11670873,38";"23010887";"16687269,597";"18781260";"25451424";"9575629";"13350990";"22259547";"17179425";"19306660";"9804884";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"AFRIQUE";"LR";"LIBERIA";"Exportations FAB";"1840270,84";"946288";"3415500,2";"1580497";"3959041";"3730416,6";"1682603";"4057969,8";"838892";"5476544,3";"1021216";"1864157,75";"1347355";"338648";"3521668";"8699533,63";"5217538,64";"1181310,68";"2349198,3";"3273366,66";"2914815,542";"1568179";"1927258,581";"3350568,895";"965163";"1728632,328";"3419662,535";"3872474,91";"3148627,111";"492005";"2800130,25";"3448504,24";"469687";"3389745,62";"1248288";"3384100,48";"1366902";"2674533,44";"1994162";"960261";"7846365,448";"4134945,09";"4760462,6";"1284067";"4980429";"2029633";"3760109,6";"4684553,4";"4951187,8";"6639683,19";"7087522,5";"1835963,7";"4006986";"12737989,92";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"AFRIQUE";"NA";"NAMIBIE";"Exportations FAB";"3512287";"3796159";"5605452";"6672452";"7216817";"4943567";"813854";"4920016";"2450964";"11243294";"6823987";"13143848";"16638637";"10940023";"10063543";"10294014";"6128640";"5017893,23";"4379198";"4427688";"7337012";"5309794";"9702299";"9816640";"887802";"9921035";"25083587,23";"5764126";"3068004";"6040216";"10908899";"6389387";"6040009";"3795237";"0";"182914";"443066,82";"307478";"0";"0";"0";"0";"0";"0";"0";"2167951";"0";"0";"0";"1352375";"564440";"195889";"0";"0";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"AFRIQUE";"NG";"NIGERIA";"Exportations FAB";"28699663";"14115075,15";"22395523,8";"17293909,2";"30770292,75";"16600176,5";"21179773,8";"16621956,13";"16468677,195";"34260311,37";"15617041,44";"13316557,625";"12440281,5";"16639025,35";"25594201,682";"20251983,253";"17161898,062";"34246158,587";"15006670,367";"33055458,12";"13182237,045";"31656502,184";"40545431,53";"45458919,797";"33411423,76";"29968437,75";"42307151,875";"35455947";"41885404,1";"30113861,94";"32833656";"25977502,375";"33949476,377";"35779582,625";"34901918,81";"37861575,62";"20005164,2";"33328338,85";"26994725,752";"12825247,549";"25452268,039";"30402118,3";"14426408,43";"7863531,6";"28279550,412";"42359339,384";"27280394,972";"38480472,481";"6778839,105";"6112461,8";"26189620,142";"16786252,56";"10864791,562";"13460864,52";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"AFRIQUE";"RW";"RWANDA";"Importations CAF";"0";"0";"0";"0";"0";"0";"0";"31362";"812635";"9825";"628343";"0";"0";"0";"2596";"370432";"9818";"0";"14848";"15491";"0";"0";"0";"568023";"40204";"7464";"69735";"1077445";"179002";"42140";"18835";"0";"802805";"0";"428660";"453937";"0";"0";"0";"0";"0";"821165";"0";"19771";"0";"0";"0";"0";"0";"0";"19394";"273918";"51730";"77566";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"AFRIQUE";"ZM";"ZAMBIE";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"545775";"2300148";"3942292";"550881";"0";"2865493";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1095104";"0";"1075998";"0";"0";"2108438";"532067";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"AMERIQUE";"DO";"REPUBLIQUE DOMINICAINE";"Importations CAF";"345668";"31675";"618620";"192809";"25227";"161972";"86122";"427918";"278772";"0";"1828658";"148736";"91438";"219850";"55719";"206301";"113635";"506156";"151362";"137768";"93071";"237789";"242426";"41429";"37690";"238926";"124589";"388166";"35688";"713132";"653399";"33848";"396569";"132704";"569179";"383544";"305017";"437502";"49735";"387248";"0";"459306";"0";"24861";"2240";"384198";"3665";"154115";"0";"24146";"51285";"0";"238";"12779";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"AMERIQUE";"HN";"HONDURAS";"Importations CAF";"142088";"1309875";"0";"1351472,5";"644426";"1385362";"1378721,5";"618437";"0";"622803";"0";"4169";"17012";"727764";"533347";"1042608";"0";"1040884";"8471";"2636653";"0";"600796";"491397";"0";"585674";"31980";"2050709";"5204549";"3196253";"5226230";"5224472";"22657";"5673529";"895032";"0";"654685";"0";"1293640";"1445162";"2057630";"1916954";"1776996";"1571423";"794469";"111222";"1082428";"476000";"1010005";"1058644";"235294";"1717628";"1719685";"2764613";"190186";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"AMERIQUE";"SR";"SURINAME";"Exportations FAB";"0";"0";"685497";"523366";"0";"0";"700188";"0";"714880";"587916";"709555";"0";"0";"0";"725619";"0";"0";"708663";"0";"0";"440921";"699540";"0";"979727";"0";"0";"0";"1148405";"0";"1128155";"0";"681859";"283442";"682231";"0";"0";"684695";"437793";"0";"1137731";"365619";"0";"0";"0";"699335";"0";"0";"697686";"0";"0";"430273";"0";"562913";"0";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"AMERIQUE";"VE";"REPUBLIQUE BOLIVARIENNE DU VENEZUELA";"Exportations FAB";"702629";"0";"3164036";"0";"0";"0";"0";"347803";"0";"0";"0";"0";"0";"352469";"0";"0";"0";"0";"0";"0";"363861";"395100";"441356";"0";"0";"0";"0";"0";"0";"359002";"415513";"213363";"1677815";"1142037";"214709";"372301";"0";"450912";"380826";"0";"1876326";"0";"2859637";"2134751";"2093892";"930214";"485357";"0";"0";"426712";"0";"1441257";"1010836";"1850871";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"ASIE";"HK";"HONG KONG";"Exportations FAB";"1979763";"1527279,042";"662670";"2626626,36";"993500";"1157944,085";"1478480,437";"1409260";"281195";"1283327";"301474";"838231";"1732986";"1219175";"1039616";"1412867";"3739418,94";"554731,64";"963319";"423980";"225074";"397642";"1511624";"522631";"3026720";"1952515";"7401296,85";"921188,736";"1811737,6";"3386117";"2364640";"349939";"0";"1595628";"0";"463324";"3567865";"7168583,8";"1470526,76";"8775089,48";"2721062,25";"1590889";"2041261";"440608";"315113";"1043945";"1328456";"1347683";"841750";"606659";"8621657,136";"5602810,979";"2723058";"888480,655";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"ASIE";"LK";"SRI LANKA";"Importations CAF";"354169";"414368";"543568";"705386";"612736";"601737";"1039977";"530788";"1069989";"1982703";"1377030";"1445345";"1076664";"1811456";"1036669";"584717";"422662";"1753194";"2117871";"987749";"522447";"1191126";"1187243";"209539";"1155747";"828297";"883769";"273767";"2955148";"748039";"564519";"1205586";"1121643";"648627";"341614";"2098258";"1141348";"227887";"1454025";"2479827";"301058";"2027960";"1667951";"558796";"333386";"479105";"773967";"336447";"97843";"548529";"979021";"703019";"901388";"453806";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"EUROPE";"CH";"SUISSE";"Exportations FAB";"19279269,651";"17284394,942";"7677220,478";"9059550,25";"8912197,438";"4381968,589";"2611146,64";"3938000,326";"5609007,295";"11638304,191";"14495325,197";"8519681,27";"16739251,468";"11229336,242";"9439600,517";"7514928,075";"4086191,87";"4792937,554";"4335958,804";"1134596";"9827135,523";"14507924,886";"8567874,227";"12559975,714";"18732290,385";"11460385,718";"7085017,122";"9731889,449";"8758040,077";"4133212,465";"7370429,753";"1822246,12";"6277304,134";"19378196,03";"15689893,73";"18770953,095";"14523679,274";"12648244,338";"22471721,88";"37436697,35";"13153371,346";"2371953,682";"6651150,407";"2411466,958";"6320504,169";"14350825,741";"21595226,863";"15279452,974";"30093519,643";"20990177,72";"22486248,367";"27100395,623";"11703739,401";"15114999,53";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"EUROPE";"FR";"FRANCE";"Exportations FAB";"1282305861,377";"1179171704,463";"1301257292,959";"1112105030,219";"646556847,656";"384568478,34";"333117242,131";"275403802,871";"265591886,271";"1088635338,432";"985603305,531";"1272994486,995";"1250412071,592";"1205902612,616";"1350895444,842";"1146863124,073";"809181274,511";"448278249,62";"355652082,565";"309995326,056";"378078458,599";"932602953,062";"1098170710,149";"1060650515,022";"1197340250,143";"1120956354,792";"1285425972,007";"1191317473,601";"731766982,931";"439536854,729";"419279411,315";"265180410,731";"445131847,172";"998341013,97";"899262250,677";"1121958435,077";"1271467144,789";"1014050446,957";"1331104347,295";"1186446383,434";"624727011,745";"374744114,844";"382864201,823";"303563787,657";"522547762,567";"1097678987,358";"1047847258,278";"933494443,469";"1239356160,415";"899502325,626";"1054985462,289";"1171452587,413";"684253344,575";"782032940,397";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"EUROPE";"MK";"MACEDOINE";"Exportations FAB";"0";"0";"0";"443585";"930271,559";"0";"0";"0";"0";"0";"0";"955474";"0";"0";"493410";"474250";"0";"0";"0";"482601";"0";"0";"452363";"478065";"0";"475980";"451499";"0";"0";"455142";"477470";"0";"0";"0";"474210";"880502";"0";"0";"0";"471073";"429200";"483147";"0";"0";"459970";"480101";"0";"464215";"459077";"0";"0";"10442831";"2138352";"13905873";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"EUROPE";"SK";"SLOVAQUIE";"Exportations FAB";"379155";"744534";"395202";"2617532";"1358636";"0";"1267380";"843260";"0";"2892358";"1761170";"443883";"2325333";"0";"0";"468066";"387088";"2308771";"0";"0";"782552,35";"1459281,152";"488635,644";"392490";"391004,25";"453943";"0";"1246707,656";"0";"795725,713";"821773,88";"508126";"1298697,724";"1737951,768";"440858";"424718";"827682,892";"0";"426906";"417266,904";"1174251,684";"1920982,48";"1388817,07";"0";"1406223,74";"2593089";"2211291";"0";"447571";"415968";"411037";"1561437,9";"0";"960645";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"EUROPE";"XK";"KOSOVO";"Exportations FAB";"489646";"0";"515884";"1068696";"0";"0";"0";"0";"0";"0";"432615";"463925";"0";"441892";"1712688";"907855";"536599";"0";"0";"0";"0";"470834";"0";"542688";"0";"0";"0";"952195";"0";"0";"420614";"0";"0";"475972";"0";"420219";"0";"0";"544211";"461524";"0";"440091";"0";"0";"0";"571878";"0";"0";"427300";"0";"0";"0";"0";"605351";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"AFRIQUE";"MR";"MAURITANIE";"Importations CAF";"3720";"0";"13600";"0";"0";"8343";"0";"0";"0";"0";"353100";"0";"16987";"0";"991590,242";"48954,44";"546724";"0";"0";"111166,154";"0";"0";"368319,826";"411170,39";"1752554,984";"1211089,61";"839717";"803932";"1803105,51";"1225822";"569251,647";"1606493";"218143,6";"237830";"2604693";"3889105,821";"102381";"2728961";"4011801";"600455";"108165";"0";"16200";"261660";"111";"0";"1661084";"834145";"34865";"204438";"194820";"18126";"0";"195952";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"AFRIQUE";"SN";"SENEGAL";"Exportations FAB";"22087034,21";"19246842,5";"24491180,6";"25679660,114";"36158587,622";"28161486,956";"24226986,21";"28712675,154";"13214645,746";"25532969,5";"26468671,79";"25727792,5";"20365483,73";"19902940,53";"17769339,53";"19735035,36";"20704252,435";"16859418,27";"21065628,26";"17019338,472";"22185170,178";"35898324,75";"42003207,295";"39618791,392";"27923884,965";"21635280,49";"29486241,105";"29891544,276";"23059920,52";"22793728,29";"22688569,6";"13152100,4";"28946316,12";"26658435,74";"25805346,072";"26172803,75";"26483352,18";"31219729,9";"30079240";"22009006,5";"21677180";"23436392,5";"18385189,33";"19428170,5";"33930662,23";"25395312,23";"26203688,618";"34828949";"27554993,92";"29043885,11";"40485951,22";"26891181";"22047926,5";"24552654,446";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"AFRIQUE";"TZ";"REPUBLIQUE-UNIE DE TANZANIE";"Exportations FAB";"0";"5627937";"0";"17782058";"3497391";"7818835";"0";"0";"1096223";"713767";"1091664";"699345";"0";"4067000";"689111";"0";"2747014";"680680";"446475";"2801716";"544429";"3263676";"701329";"0";"0";"0";"0";"1240043";"0";"701486";"696534";"3184307";"528678";"699150";"1693171";"1058705";"6";"698183";"0";"563963";"0";"0";"697333";"0";"0";"1137028";"1576128";"575611";"2657560";"554391";"1234007";"1719462";"0";"0";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"AMERIQUE";"CL";"CHILI";"Exportations FAB";"0";"0";"587685";"1166169";"740781";"742831";"787160,44";"812681";"0";"2766776";"475855";"7658590";"416021";"380796";"736915";"351479";"1094692";"1184316";"440872";"115022";"101334";"865071";"131099,783";"0";"1186327";"1235949";"93342";"179690";"0";"372732";"846538";"0";"1268888";"54250";"731040";"1040023";"690828";"577098";"388746";"207420";"0";"96278";"2151325";"0";"1334462";"766259";"754069";"478993";"0";"568289";"775985";"468103";"382900";"0";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"AMERIQUE";"CO";"COLOMBIE";"Importations CAF";"1218909";"1586205";"6121678";"2728035";"2919296";"636254";"3616578,5";"938206";"3617393";"1678135";"1936475";"23588";"1526607";"919578";"1308406";"3287675";"5398475";"7782035";"3637434";"5166340";"1520763";"4190890";"4312522,5";"1654691";"2721385";"1515285";"4749409";"3083497";"5231812";"797794";"4011086,5";"2439285";"4403247";"360352";"683381";"3896812";"51724";"2404835";"419969";"1907106";"3006169";"1420986";"1591380";"2156636";"1844071";"46838";"1500379";"496807";"4048244";"647226";"5286254";"932957";"4440220";"1547143";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"AMERIQUE";"NI";"NICARAGUA";"Importations CAF";"53419";"0";"0";"0";"0";"19759";"0";"32617";"0";"0";"0";"0";"46578";"0";"532984";"0";"1106845";"0";"37142";"0";"0";"0";"0";"0";"912916";"0";"0";"0";"545790";"0";"0";"12159";"0";"608720";"0";"551710";"0";"0";"0";"0";"0";"0";"0";"30794";"0";"0";"24549";"0";"0";"0";"0";"0";"0";"6623";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"AMERIQUE";"PY";"PARAGUAY";"Importations CAF";"6000";"0";"14962";"2500";"0";"3800";"0";"0";"0";"49228038";"55849708";"37072405";"0";"5909";"2937";"8833";"0";"5286";"0";"3827";"1126";"3713";"12576";"20230";"16697";"9740";"11910";"0";"5627";"0";"44954";"3953";"0";"87808";"0";"0";"14050";"0";"0";"35900";"22393";"45404";"0";"147411";"0";"0";"302";"0";"170151";"0";"5327";"432";"0";"0";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"ASIE";"JO";"JORDANIE";"Importations CAF";"3687847";"1676790";"1657752";"902735";"785192";"878848";"2074496";"202236";"1320930";"322700";"3314134";"6635064";"4167531";"5110275";"3075677";"7107746";"1136613";"2484988";"868222";"497399";"2400682";"2210000";"1747057";"1918777";"606072";"1531487";"2114224";"6945850";"117699";"147760";"816813";"90867";"995328";"669408";"6197015";"3228932";"4397990";"2133232";"6265528";"3237123";"2469718";"2744634";"156733";"2649055";"2493320";"945442";"934715";"4899572";"2160477";"522752";"2739158";"3015673";"346693";"1623313";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"ASIE";"JP";"JAPON";"Importations CAF";"300769";"54819";"427391";"244691";"276303";"875491";"628536";"477450";"461634";"387089";"308124";"839612";"542695";"103516";"772248";"571306";"879428";"1618395";"489873";"1758850";"433390";"394435";"919772";"1958775";"292320";"525383";"1015447";"251979";"769448";"559638";"309515";"901264";"580185";"563418";"909998";"498977";"702024";"2026427";"469682";"163218";"181520";"775682";"637508";"402867";"239543";"320313";"1144312";"790988,53";"1923455";"748077";"950238";"209262";"224702";"1185704,25";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"ASIE";"KW";"KOWEIT";"Exportations FAB";"6543880";"2973891,03";"3796060";"2573337,41";"5169895,48";"694809";"1855532";"4273984";"2671666";"3840499";"2743133";"3224972";"3364975";"3378485";"5745101";"2387385";"2878834";"1487904";"1612080";"1972178,6";"3258786";"2469010,36";"7233540";"8465428";"1650088";"4238846";"1637396";"1576535";"2124886";"1512018";"4195065";"2378505";"3256329";"2710842";"2521475";"5180354";"3425796,5";"1895612";"1531382,408";"4549141";"3948099";"3819155,116";"3373346";"2916948";"3251901,92";"3691254,6";"4988020,192";"1784830";"1609485";"4686582";"1920419";"2099783";"916725";"1566524";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"ASIE";"KZ";"KAZAKHSTAN";"Exportations FAB";"0";"0";"633458";"1143086";"0";"0";"0";"0";"0";"629920";"842268";"0";"706110";"628286";"604360";"620853";"0";"0";"643630";"0";"0";"1335924";"0";"192400";"1538151";"599228";"274640";"1312218";"0";"0";"2216785";"0";"1540089";"3236829";"1396804";"1231519";"0";"3420698";"2100835";"0";"0";"0";"592830";"744766";"747488";"275664";"1321247";"168350";"288363";"29391";"267596";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"ASIE";"MN";"MONGOLIE";"Exportations FAB";"0";"116386";"0";"0";"0";"0";"0";"0";"0";"0";"282688";"0";"123620";"122230";"122037";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"675948";"282825";"0";"567740";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"ASIE";"OM";"OMAN";"Exportations FAB";"517392";"1373400,69";"17222804";"5991136";"1544887";"1976619";"784101";"733373";"562554";"622166";"1293176";"4684476";"5822053";"1498647";"960696";"4964960";"1131762,5";"705375";"10350425";"2563200,6";"3669198,02";"2927165,64";"4232936,96";"2200288";"2130808";"1482062";"1567612";"2537485";"2682722,21";"1903692";"1886388";"1181388";"1982502";"1981028";"2323563";"3014740,5";"2798369";"1883457";"6570220,92";"3188306";"13915248";"2004574";"1861592";"180135";"514350,55";"1113822";"630114";"1650268";"1773702";"630079";"555763";"576519";"146415";"1235796,68";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"ASIE";"VN";"VIET NAM";"Exportations FAB";"6474362";"231051";"2700459";"5391435";"258634";"1351460";"1185858";"1654961";"0";"5222965";"6746604";"367420";"1499372";"7303318";"2676755";"3750543";"1444185";"526959";"249351";"563547";"0";"0";"0";"699211";"0";"1170718";"23030250";"7337340";"5414554";"1045121";"856610";"1261890";"791309";"0";"123240";"2123445";"634957";"7201993";"1528644";"1763926";"2440992";"4139755,07";"2571338";"0";"0";"702170";"0";"3651176";"49025";"1875922";"3323934";"825905";"1921294";"272162";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"EUROPE";"HU";"HONGRIE";"Importations CAF";"2530628";"924048";"1011847";"145696553";"1046204";"5169004";"1492804";"4568025";"7355205";"2546518";"1549973";"3818669";"2775810";"3447033";"5571524";"2446257";"4983780";"3936674";"6186526";"2418840";"8365100";"6621405";"5096340";"7248704";"6482848";"4104848,752";"3005715";"2666388";"4240921";"5158234";"4656137";"3776422";"5567559";"4083772";"3608606";"9242861";"7389388";"1501382";"4734579";"4891492";"4792210";"34185866";"12383671";"9317379";"6105879";"5478410";"4493559";"5183601";"2646903";"3097362";"6966201";"7905139";"3508401,001";"4963447";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"EUROPE";"MC";"MONACO";"Exportations FAB";"68009";"166722";"80301";"161034";"0";"359885";"33499";"409260";"619708";"23604";"481895";"242357";"0";"421588";"0";"72795";"0";"102247";"0";"0";"72803";"198707";"532129";"343050";"205616";"113036";"212307";"468905";"110368";"611036";"63148";"118310";"445976";"461236";"27423";"33056";"538040";"56146";"125547";"0";"0";"0";"0";"15138";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"EUROPE";"MD";"REPUBLIQUE DE MOLDOVA";"Importations CAF";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17195797";"0";"51414";"0";"0";"0";"0";"0";"16279761";"16579115";"16399385";"0";"0";"0";"0";"0";"15903055";"0";"14918640";"7531340";"0";"12269615";"150784";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"54732040";"0";"0";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"EUROPE";"NL";"PAYS-BAS";"Importations CAF";"130148408";"65157931,04";"65459070,63";"79404557,93";"108072877,64";"97315087,96";"109315331,41";"104059699,673";"90046141,881";"105331671,87";"132666078,373";"184193147,64";"147966812,13";"96261433,015";"106091065";"120732106";"136951227";"122330476";"99343676";"75104009";"81631616";"134008019";"124794498,041";"167610448";"174143565";"115369564,046";"106107421";"125746685,13";"108608539,032";"114943878,022";"117467769,22";"94329683";"121152381";"135370481";"126105254";"212347348";"190629343,34";"117177051,95";"178134966,441";"180776967";"102924905";"92232358";"80891496,681";"118461493";"87602091,579";"99236122,554";"177724121,95";"200864066,78";"133022064,33";"145009351,7";"202873180";"148669118";"138655164";"146950844,4";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"EUROPE";"PT";"PORTUGAL";"Importations CAF";"38477802";"26303595";"38764256";"33392250";"27712321";"22757321";"36036242";"32341342";"29373094";"37333284";"60478742";"56207543";"50433498";"39525556";"61383455";"51184422";"41949864";"25342303";"15773569";"21088391";"29450265";"30344850";"40369957";"51928577";"62743322,776";"55773383,02";"50773785";"57977214";"40857780,64";"30861964";"27167274";"14249398";"24825093";"52990749,36";"55463600";"58244826";"59322743";"66802995,789";"58344319";"38001309,561";"37192764,4";"35698272";"26149470,44";"52397000,01";"26129184";"56292250";"43677577";"48233509,01";"41789560";"39682671,402";"70325366";"52492363,3";"30541294";"31925420";"0";"0";"0";"0";"0";"0";
"1";"ALIMENTATION, BOISSONS ET TABACS";"AFRIQUE";"CI";"COTE D'IVOIRE";"Exportations FAB";"22805135,312";"23253844,09";"39460776,492";"41364539,6";"19330667,26";"21522604,01";"30595547,82";"42118372,109";"28229671,75";"55956885,767";"33267929,358";"20266911,53";"18047026,627";"22682345,72";"44980739,841";"68421784,551";"37309433,677";"34733891,488";"19106973";"30461247,71";"34490132";"47966324,21";"44743339,62";"47162168,938";"16284161,56";"36241725,447";"43846369,546";"40555413,27";"43512737,562";"35351738,642";"23182449,092";"20556998,144";"42621478,113";"31541410,417";"34016393,938";"44106077,717";"14758342,1";"29412247,498";"54846864,024";"29567188,966";"37071172,413";"66896602,992";"53341493,752";"72582128,446";"99535520,625";"73833458,592";"71231638,085";"64151947,88";"44984522,44";"68390539,5";"55680946,987";"86004473,945";"81329063,407";"78313234,465";"0";"0";"0";"0";"0";"0";
